Catégories,Sous-catégories,Produits,Alternatives,Descriptions,Où trouver,Liens,Lien de l'image,Filtre,modif chloe
High-tech,High-tech,Smartphone,Téléphone reconditionné,"Tous les constructeurs polluent autant les uns que les autres, il n'y a donc pas de meilleur smartphone à acheter, mais il existe plusieurs points qui permettent d'en réduire l'impact sur l'environnement. Il faut acheter un smartphone suffisamment puissant, pour qu'il puisse durer dans le temps. Il ne faut pas un grand écran, car c'est ce qui consomme le plus. Enfin, plus l'appareil est léger, moins il nécessite de matière première. Et plutôt que l'acheter directement en magasin, tu peux acheter un téléphone reconditionné!",Le large éventail de Backmarket te conviendra à coup sûr !,https://www.backmarket.fr/smartphones-reconditionnes.html,https://www.lsa-conso.fr/mediatheque/6/3/4/000381436_5.jpg,En ligne,
High-tech,High-tech,Smartphone,Fairphone 4,"Garanti cinq ans avec un indice de réparabilité de neuf sur dix, le fairphone saura ravir toutes tes attentes ! Tu pourrais penser qu'il sera moins efficace que le dernier iphone, mais le fairphone 4 a accès à la 5G, possède une grande autonomie de batterie et un double capteur photo haut de gamme. Un téléphone éco-responsable et granati dans le temps, c'est tout ce que l'on souhaite !",Toutes les informations sur ce super smartphone se toruvent sur leur site officiel !,https://shop.fairphone.com/fr/,https://images.unsplash.com/photo-1623658962582-a09214e103e6?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxzZWFyY2h8NDJ8fHBob25lfGVufDB8fDB8fA%3D%3D&auto=format&fit=crop&w=500&q=60,En ligne,
High-tech,High-tech,Enceinte,Enceinte en bois,"Les enceintes que l'on voit d'habitude en grande surface sont faites majoritairement de plastiques te de matériaux non recyclable. C'est pourquoi nous te proposons une enceinte faite de bois ! Ergonomique et écologique cette enceinte au design aussi joli qu'une forêt endormie saura égayer ton interieur !  Naturelle, sa forme arrondie renvoie le son de ton téléphone pour te permettre d'écouter ta musique n'importe où et sans électricité! Un bon plan pour toi, et pour ta planète !","Retrouve des enceintes en bois sur le site de Mango Beat, une entreprise engagée qui propose des produits de qualité !",https://www.mangobeat.fr/quest-ce-donc.html,https://www.mangobeat.fr/uploads/3/9/6/7/39676568/mise-en-scene-mb-12_orig.jpg,En ligne,
High-tech,High-tech,Ordinateur,Ordinateur reconditionné,"Tous les constructeurs polluent autant les uns que les autres, il n'y a donc pas de meilleur ordinateur à acheter, mais il existe plusieurs points qui permettent d'en réduire l'impact sur l'environnement. Il faut acheter un ordinateur suffisamment puissant, pour qu'il puisse durer dans le temps. Il ne faut pas un grand écran, car c'est ce qui consomme le plus. Enfin, plus l'appareil est léger, moins il nécessite de matière première.",Le large éventail de Backmarket te conviendra à coup sûr !,https://www.backmarket.fr/ordinateur-portable-bureautique-reconditionne.html,https://monpcdoccasion.fr/img/leoblog/b/1/17/lg-b-article03l.jpg,En ligne,
High-tech,High-tech,Coque smartphone,Coque biodégradable,"Ton téléphone se doit de rester beau et à la mode à n'importe quel moment de l'année. Cependant, la majorité des coques du commerce sont faites avec du plastique que l'on recycle difficlement voire pas du tout. Pour résoudre ce dilemme entre ta conscience et tes valeurs, nous te proposons la coque biodégradable ! Jolie et éco-responsable, cette coque saura te ravir !","La boutique de Coque Biodégradable te propose un panel de coques adaptées à plusieurs téléphones, déclinés en plusieurs coloris. Nous te redirigeons vers leur site en espérant que tu trouves chaussure à ton pied.",https://coque-biodegradable.fr/10-coque-iphone-biodegradable,https://images.unsplash.com/photo-1535157412991-2ef801c1748b?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=580&q=80,En ligne,
High-tech,Web,Ecran thème jour,Ecran thème nuit,"Si l’utilisation de tous ces écrans a un impact sur notre santé, elle en a également sur l’environnement. Élément le plus consommateur d'énergie, l’écran a tendance à mettre la batterie K.O. Moins énergivore, le mode sombre permet donc d’augmenter l’autonomie de ces appareils et peut-être même de tenir toute une journée sans avoir besoin de les recharger en urgence !","La plupart des systèmes d'exploitation mobiles et ordinateurs sont disponibles en mode nuit, ainsi qu'un très grand nombre d'applications ! Le site 20 minutes te donne plein de super conseils, par ici !",https://start.lesechos.fr/innovations-startups/tech-futur/dark-mode-pourquoi-choisit-on-tous-lecran-noir-1290425,https://i2-prod.somersetlive.co.uk/incoming/article2616046.ece/ALTERNATES/s1200c/0_facebook-messenger-dark-mode.jpg,En ligne,
High-tech,Web,Moteur de recherche,Ecosia,"L'impact écologique d'un moteur de recherche comme Google est catastrophique. Une des alternatives est d'utiliser un moteur de recherche écoresponsable comme Ecosia. Il reverse 80 % de ses bénéfices selon un programme de reforestation présent partout dans le monde. Ecosia plante des arbres au Burkina Faso, au Pérou, en Tanzanie, à Madagascar et dans douze autres pays.",Toutes les informations sont sur le site officiel d'Ecosia.,https://www.ecosia.org/,https://cdn-static.ecosia.org/og/facebook.jpg,En ligne,
High-tech,Web,Hébergement,Hébergement de site web vert,"Si tu es développeur•se, ceci peut t'intéresser : The Green Web Foundation propose une série d'application pour estimer l'empreinte carbone de ton site internet. Le site liste aussi les hébergeurs les plus verts.",The Green Web Foundation est une organisation à but non-lucratif qui travaille à accélérer la transition écologique sur Internet.,https://www.thegreenwebfoundation.org/,https://cdn.kualo.com/website/greenhosting6_green.png,En ligne,
High-tech,Web,Box internet,Réduire la consommation de sa box internet,"Même si une box internet ne consomme pas beaucoup il y a tout de même 25 millions de box internet en France ce qui, au final, représente une grande consommation d'énergie. C'est pour cela que les Écho du Net te proposent une série d'astuces pour réduire ce coût en énergie.", Echo du Net est un site d'information sur l'internet français. Il propose différents articles sur le sujet.,https://www.echosdunet.net/dossiers/facture-denergie-peut-on-reduire-consommation-electrique-sa-box-internet,https://cloudfront.alterego-design.com/media/pagesCMS/blog/astuces-deco-pour-cacher-box-internet.jpg,En ligne,
High-tech,Electricité,Pile jetable,Batterie/Pile rechargeable,"Les piles rechargeables sont très économiques à l'usage et participent à la réduction des déchets. De plus, il existe une nouvelle technologie plus performante et plus écologique : ce sont les piles NiMH (Nickel-Métal Hydrure) qui apportent une grande autonomie, une tension de courant stable et des temps de charge très bas.",Tu peux trouver ce types de piles rechargeables sur Cdiscount par exemple et par ici !,https://www.cdiscount.com/juniors/piles-pour-vos-jouets/piles-rechargeables/l-1208004.html#_his_,https://www.cdiscount.com/pdt2/8/6/4/1/700x700/auc0740120163864/rw/4pcs-piles-18650-3-7v-9900mah-batterie-rechargeabl.jpg,En ligne,
High-tech,Electricité,Ampoule à incandescence,Ampoule LED,"Si tu utilises des ampoules LED, tu consommeras 80 % d’électricité en moins qu’avec une ampoule à incandescence. C'est bénéfique pour la planète, mais aussi pour ton porte-monnaie !",Il existe beaucoup de sites qui aident à la transition écologique en proposant des ampoules LED très peu chères voir gratuites. Nous te proposons Lampes Direct !,https://www.lampesdirect.fr/ampoule-led,https://i1.wp.com/infojmoderne.com/wp-content/uploads/2020/06/lamphone.jpg?resize=448%2C299&ssl=1,En ligne,
High-tech,Electricité,Appareil en veille,Minuteur journalier,"En utilisant un minuteur, tu décides du moment utile pour utiliser une prise électrique. Ton ballon ne produit pas d’eau chaude la nuit quand tu dors, mais le jour quand tu en as vraiment besoin; au petit matin avant la douche par exemple.",Les minuteurs se vendent dans de nombreux centres commerciaux et sont disponibles sur Internet. Tu en trouveras en quelques clics sur Cdiscount !,https://www.cdiscount.com/jardin/r-programmateur+journalier.html#_his_,https://www.bricomarche.com/medias/sys_master/root/h4d/hc3/9148401418270/580x330-visuel-2-programmateur-journalier.jpg,En ligne,